Gene,log2FC,pvalue,n_g12d,n_wt,FDR
TSPAN6 (7105),0.27619595326334867,0.3570396501591355,13,38,
TNMD (64102),-0.1078491442799655,0.6118949068336297,13,38,
DPM1 (8813),-0.40768971960088685,0.007648755060989612,13,38,
SCYL3 (57147),0.32605654107115933,0.2095236523146883,13,38,
C1orf112 (55732),0.4169540273737242,0.047242206748735686,13,38,
FGR (2268),-0.060619197142056915,0.23656534401576856,13,38,
CFH (3075),0.06258501495609103,0.8500156741984373,13,38,
FUCA2 (2519),0.1055636693092108,0.6402954693486351,13,38,
GCLC (2729),-0.1773521386745207,0.44625135437673735,13,38,
NFYA (4800),0.19901627481148187,0.4347305565342018,13,38,
STPG1 (90529),0.313924275359204,0.05531397221792648,13,38,
NIPAL3 (57185),0.3982532831532657,0.19471702380698538,13,38,
LAS1L (81887),-0.0011341879009671985,0.994835384344777,13,38,
ENPP4 (22875),0.48364368298610527,0.1357694533584596,13,38,
SEMA3F (6405),0.7845965990097388,0.12717734767068176,13,38,
CFTR (1080),-0.18807544836609802,0.8054310373740933,13,38,
ANKIB1 (54467),0.009328576024108859,0.9602865059204295,13,38,
CYP51A1 (1595),0.19527755922771295,0.43424740035387654,13,38,
KRIT1 (889),-0.058856500109958354,0.7772481309564974,13,38,
RAD52 (5893),-0.0056774846359286535,0.9821354321393165,13,38,
BAD (572),0.28316352355791174,0.2345607614641425,13,38,
LAP3 (51056),0.46699387975566076,0.04219065557224737,13,38,
CD99 (4267),0.29431375605020804,0.3267904565020797,13,38,
HS3ST1 (9957),0.034556293356791334,0.9030653110757723,13,38,
AOC1 (26),0.6692769411152759,0.3545269895367421,13,38,
WNT16 (51384),0.335107735916258,0.255249795132496,13,38,
HECW1 (23072),-0.18351683789718753,0.2195497428959358,13,38,
MAD1L1 (8379),0.13302276847818195,0.6467923688290792,13,38,
LASP1 (3927),0.7134078280491769,0.004717302359084667,13,38,
SNX11 (29916),0.004674190705191705,0.9728393183851356,13,38,
TMEM176A (55365),-0.6063895456369148,0.47762875232291013,13,38,
M6PR (4074),-0.09516695381655627,0.4950696340343208,13,38,
KLHL13 (90293),0.3363746424944305,0.45883497332212186,13,38,
CYP26B1 (56603),-0.1831027071776694,0.5456490905068071,13,38,
ICA1 (3382),-0.07592852962169516,0.8101993581844834,13,38,
DBNDD1 (79007),0.5490054730912628,0.10505834695159645,13,38,
ALS2 (57679),-0.23323815686961868,0.2662402455241465,13,38,
CASP10 (843),0.01343261982561006,0.9574532641074558,13,38,
CFLAR (8837),0.08592104711271187,0.7455878280688147,13,38,
TFPI (7035),-0.697726359772894,0.30836048970632685,13,38,
NDUFAF7 (55471),-0.2174749974105583,0.22752882790767417,13,38,
RBM5 (10181),0.01931980967678726,0.946692912742817,13,38,
MTMR7 (9108),-0.06811015829115852,0.3673233248501284,13,38,
SLC7A2 (6542),-0.5924042398444608,0.08125621916737637,13,38,
ARF5 (381),0.11833126659247206,0.4024205876714717,13,38,
SARM1 (23098),-0.3138253506173201,0.26809565807493513,13,38,
POLDIP2 (26073),-0.042485646289426526,0.7469747537038977,13,38,
PLXND1 (23129),-0.8447567635826116,0.09414708421561284,13,38,
AK2 (204),0.019926594981765078,0.8764139548123687,13,38,
CD38 (952),-0.025142385256127747,0.8612727623946808,13,38,
FKBP4 (2288),0.17039282038145753,0.406486345196837,13,38,
KDM1A (23028),0.27717930506708743,0.24184768335055198,13,38,
RBM6 (10180),-0.22733532597382577,0.21538440854267785,13,38,
CAMKK1 (84254),0.2568781159656801,0.40027031241310207,13,38,
RECQL (5965),-0.47821737596163016,0.037434413165857425,13,38,
VPS50 (55610),-0.21646977728257255,0.26692789251798815,13,38,
HSPB6 (126393),-0.25359390390452097,0.11696573210461139,13,38,
ARHGAP33 (115703),0.1282144318203775,0.763133290120448,13,38,
NDUFAB1 (4706),-0.04221515498124884,0.8288226720632864,13,38,
PDK4 (5166),-0.3217055300436238,0.28246087992786606,13,38,
SLC22A16 (85413),0.03512771273729412,0.3013238836474521,13,38,
ZMYND10 (51364),0.13563617469962197,0.32049458154677735,13,38,
ABCB5 (340273),-0.0015698194585457223,0.912396014795632,13,38,
ARX (170302),-0.10073114760739661,0.4393593963431077,13,38,
SLC25A13 (10165),-0.1793387791293819,0.27338613947145807,13,38,
ST7 (7982),0.04066318870674568,0.7651559337974417,13,38,
CDC27 (996),0.13807848814193058,0.4610599055659087,13,38,
SLC4A1 (6521),-0.010187987522952541,0.17455369855974437,13,38,
CALCR (799),0.04161644302050949,0.26800852176700873,13,38,
HCCS (3052),0.17529102937389762,0.22018548262565787,13,38,
DVL2 (1856),0.11439481243301941,0.6098365019289331,13,38,
PRSS22 (64063),0.6893822641379845,0.18059298464347234,13,38,
UPF1 (5976),0.1606793894183225,0.44384125392798535,13,38,
SKAP2 (8935),0.2640449063440009,0.3562966150343969,13,38,
SLC25A5 (292),-0.24982040788303017,0.5665647217443475,13,38,
MCUB (55013),0.1327030797875164,0.6497469276142975,13,38,
HOXA11 (3207),0.38372950642088366,0.3839686063821438,13,38,
POLR2J (5439),-0.05381691588029547,0.6303161895804297,13,38,
DHX33 (56919),-0.06861376922349205,0.7808059457781042,13,38,
MEOX1 (4222),-0.06216028304424096,0.15726423580109222,13,38,
THSD7A (221981),0.19681426865733767,0.37618035015175344,13,38,
LIG3 (3980),0.04051178855368143,0.886837037879724,13,38,
RPAP3 (79657),-0.19857919901752918,0.17088843385600747,13,38,
ACSM3 (6296),0.5641614016653027,0.3383281874224692,13,38,
REXO5 (81691),-0.06702688434268111,0.7381710442434217,13,38,
CIAPIN1 (57019),0.15971073643376243,0.23595148402967606,13,38,
SPPL2B (56928),0.40228964504792675,0.37887391692139794,13,38,
FAM214B (80256),0.3443278729476229,0.253999010544532,13,38,
COPZ2 (51226),-0.16394106523826935,0.7153003424987174,13,38,
PRKAR2B (5577),-0.2741191531434929,0.2334906548003755,13,38,
MSL3 (10943),0.050590750031692444,0.7732205955237802,13,38,
CREBBP (1387),0.12296294123611018,0.6780382747298561,13,38,
TSPOAP1 (9256),0.6816530680585842,0.2830585657178428,13,38,
MPO (4353),0.019788078318218383,0.8962219857924739,13,38,
PON1 (5444),-0.05154799242539887,0.647412879469036,13,38,
GCFC2 (6936),-0.37727529024226314,0.07631705824481162,13,38,
WDR54 (84058),-0.2581684175393315,0.4182642764505162,13,38,
CROT (54677),0.31708765323664867,0.23430819594173574,13,38,
ABCB4 (5244),-0.18006610314741403,0.32158870257580535,13,38,
KMT2E (55904),-0.08233363044342568,0.6869035903895551,13,38,
RHBDD2 (57414),0.29533958378286407,0.21306753777973922,13,38,
SOX8 (30812),-0.5199675299605842,0.15341748668965408,13,38,
IBTK (25998),-0.23681733334245525,0.2814050057828065,13,38,
ZNF195 (7748),-0.049423762177524644,0.7841534113390191,13,38,
MYCBP2 (23077),-0.012345761253774512,0.9668127392018728,13,38,
FBXL3 (26224),-0.028529176817402302,0.883129737581185,13,38,
ITGAL (3683),0.029959602811660463,0.6252364802123596,13,38,
PDK2 (5164),0.6098354649297861,0.0377278054401153,13,38,
ITGA3 (3675),1.0265563271838847,0.03879096234276728,13,38,
ZFX (7543),0.06804086699088652,0.8025825721026274,13,38,
LAMP2 (3920),0.0710224215570765,0.7658477731910005,13,38,
ITGA2B (3674),0.04570680828992224,0.8135938487360183,13,38,
ASB4 (51666),-0.09028031002416825,0.8514134594819975,13,38,
GDE1 (51573),0.21767276378519007,0.13302783934754545,13,38,
REX1BD (55049),0.2283335280597356,0.5666065998357153,13,38,
CRLF1 (9244),0.061849608396436606,0.848600134129925,13,38,
OSBPL7 (114881),0.25840029978852197,0.4320745291123629,13,38,
TMEM98 (26022),-0.9737970868805066,0.15714717719705867,13,38,
YBX2 (51087),0.16245845480036136,0.6829900740569869,13,38,
KRT33A (3883),-0.01992629177053829,0.29165653096713406,13,38,
MAP3K14 (9020),0.16206499738711555,0.5653623978037119,13,38,
ABCC8 (6833),-0.12160728307334848,0.07416881287379676,13,38,
CACNG3 (10368),-0.0011333126034528947,0.08314877539551077,13,38,
TMEM132A (54972),0.4279037416311118,0.28067318868315067,13,38,
AP2B1 (163),-0.00023307944130745994,0.9992225781655845,13,38,
TAC1 (6863),0.2757964148758571,0.3619863695451113,13,38,
ZNF263 (10127),-0.1023398038614376,0.5001582503781967,13,38,
CX3CL1 (6376),-0.16432405895518554,0.5597842524910246,13,38,
SPATA20 (64847),-0.16254392234896287,0.5937824281252859,13,38,
CACNA1G (8913),-0.0472097728425057,0.1841300528143025,13,38,
TNFRSF12A (51330),0.11541931108634174,0.7986031856585707,13,38,
DLX6 (1750),0.2916591786115189,0.46402396900999543,13,38,
MAP3K9 (4293),0.33418280984804216,0.1979178985407637,13,38,
RALA (5898),-0.2309883336455325,0.11517049362718629,13,38,
BAIAP2L1 (55971),0.22456429222445262,0.2764571145640181,13,38,
KDM7A (80853),-0.01960777046550577,0.9506046431186266,13,38,
ETV1 (2115),-0.18710963146783066,0.5318042379908118,13,38,
AGK (55750),0.18580218364394874,0.3127912327909281,13,38,
ALDH3B1 (221),0.7389104960756856,0.10188162198110082,13,38,
TTC22 (55001),0.3698510214221078,0.2861353979291704,13,38,
PHTF2 (57157),-0.12315161451095502,0.579679391326027,13,38,
CCL26 (10344),0.13617378252903312,0.5001293669049259,13,38,
FARP2 (9855),0.060375041332693336,0.7749385926991559,13,38,
USH1C (10083),-0.47621581439022975,0.5582131185833143,13,38,
GGCT (79017),-0.08929751343844394,0.637392341559331,13,38,
DBF4 (10926),-0.2068615775114715,0.2741574899169186,13,38,
TBXA2R (6915),-0.021210314126721058,0.7042556966048431,13,38,
